mode,step,sim_time,reward,global_queue,global_avg_delay,accident_events,active_accidents,jam_active,demand_keep_prob,vehicles_removed
MODEL,22,111.0,-0.404,14.0,1.9047619047619044,0,0,0,1.0,0
MODEL,23,116.0,-0.4617142857142856,16.0,2.17687074829932,0,0,0,1.0,0
MODEL,24,121.0,-0.6194285714285713,18.0,2.4489795918367343,0,0,0,1.0,0
MODEL,25,126.0,-0.6194285714285714,18.0,2.4489795918367343,0,0,0,1.0,0
MODEL,26,131.0,-0.5482857142857143,19.0,2.585034013605442,0,0,0,1.0,0
MODEL,27,136.0,-0.6925714285714288,24.0,3.2653061224489797,0,0,0,1.0,0
MODEL,28,141.0,-0.7214285714285714,25.0,3.4013605442176877,0,0,0,1.0,0
MODEL,29,146.0,-1.1011428571428572,34.0,4.625850340136055,0,0,0,1.0,0
MODEL,30,151.0,-0.7214285714285713,25.0,3.4013605442176873,0,0,0,1.0,0
MODEL,31,156.0,-0.8568571428571428,29.0,3.9455782312925165,0,0,0,1.0,0
MODEL,32,161.0,-1.101142857142857,34.0,4.625850340136054,0,0,0,1.0,0
MODEL,33,166.0,-0.8857142857142857,30.0,4.081632653061224,0,0,0,1.0,0
MODEL,34,171.0,-1.03,35.0,4.761904761904762,0,0,0,1.0,0
MODEL,35,176.0,-1.0877142857142856,37.0,5.034013605442176,0,0,0,1.0,0
MODEL,36,181.0,-1.087714285714286,37.0,5.034013605442177,0,0,0,1.0,0
MODEL,37,186.0,-1.280857142857143,43.0,5.850340136054422,0,0,0,1.0,0
MODEL,38,191.0,-1.0965714285714288,38.0,5.170068027210884,0,0,0,1.0,0
MODEL,39,196.0,-1.356285714285714,47.0,6.394557823129253,0,0,0,1.0,0
MODEL,40,201.0,-1.1542857142857141,40.0,5.442176870748299,0,0,0,1.0,0
MODEL,41,206.0,-1.485142857142857,48.0,6.53061224489796,0,0,0,1.0,0
MODEL,42,211.0,-1.3851428571428572,48.0,6.53061224489796,0,0,0,1.0,0
MODEL,43,216.0,-1.3962857142857141,47.0,6.394557823129252,0,0,0,1.0,0
MODEL,44,221.0,-1.3274285714285714,46.0,6.258503401360544,0,0,0,1.0,0
MODEL,45,226.0,-1.298571428571429,45.0,6.122448979591837,0,0,0,1.0,0
MODEL,46,231.0,-1.6694285714285715,53.0,7.210884353741496,0,0,0,1.0,0
MODEL,47,236.0,-1.5317142857142862,51.0,6.9387755102040805,0,0,0,1.0,0
MODEL,48,241.0,-1.7048571428571428,57.0,7.755102040816327,0,0,0,1.0,0
MODEL,49,246.0,-1.627142857142857,55.0,7.482993197278911,0,0,0,1.0,0
MODEL,50,251.0,-1.7225714285714289,59.0,8.027210884353742,0,0,0,1.0,0
MODEL,51,256.0,-1.5005714285714287,52.0,7.07482993197279,0,0,0,1.0,0
MODEL,52,261.0,-1.6937142857142855,58.0,7.891156462585036,0,0,0,1.0,0
MODEL,53,266.0,-1.8091428571428576,62.0,8.435374149659864,0,0,0,1.0,0
MODEL,54,271.0,-1.9580000000000004,63.0,8.571428571428571,0,0,0,1.0,0
MODEL,55,276.0,-2.091142857142857,69.0,9.387755102040817,0,0,0,1.0,0
MODEL,56,281.0,-2.1088571428571434,71.0,9.659863945578232,0,0,0,1.0,0
MODEL,57,286.0,-7.048857142857143,71.0,9.659863945578232,1,1,0,1.0,0
MODEL,58,291.0,-7.282,77.0,10.476190476190478,0,1,0,1.0,0
MODEL,59,296.0,-7.155428571428572,74.0,10.068027210884356,0,1,0,1.0,0
MODEL,60,301.0,-7.635142857142859,83.0,11.292517006802722,0,1,0,1.0,0
MODEL,61,306.0,-7.36857142857143,80.0,10.8843537414966,0,1,0,1.0,0
MODEL,62,311.0,-7.592857142857142,85.0,11.564625850340136,0,1,0,1.0,0
MODEL,63,316.0,-7.903714285714287,93.0,12.653061224489797,0,1,0,1.0,0
MODEL,64,321.0,-12.530571428571426,87.0,11.83673469387755,1,2,0,1.0,0
MODEL,65,326.0,-12.981428571428577,95.0,12.925170068027212,0,2,0,1.0,0
MODEL,66,331.0,-12.568285714285716,89.0,12.108843537414966,0,2,0,1.0,0
MODEL,67,336.0,-12.501714285714291,86.0,11.700680272108844,0,2,0,1.0,0
MODEL,68,341.0,-12.659428571428569,88.0,11.972789115646258,0,2,0,1.0,0
MODEL,69,346.0,-12.521714285714289,86.0,11.700680272108844,0,2,0,1.0,0
MODEL,70,351.0,-12.75257142857143,94.0,12.789115646258503,0,2,0,1.0,0
MODEL,71,356.0,-12.852571428571427,94.0,12.789115646258503,0,2,0,1.0,0
MODEL,72,361.0,-17.67714285714286,90.0,12.244897959183675,1,3,0,1.0,0
MODEL,73,366.0,-17.781428571428577,95.0,12.925170068027208,0,3,0,1.0,0
MODEL,74,371.0,-18.08342857142857,102.0,13.877551020408161,0,3,0,1.0,0
MODEL,75,376.0,-17.67485714285714,92.0,12.51700680272109,0,3,0,1.0,0
MODEL,76,381.0,-18.085714285714282,100.0,13.60544217687075,0,3,0,1.0,0
MODEL,77,386.0,-23.094571428571417,101.0,13.741496598639458,1,4,0,1.0,0
MODEL,78,391.0,-23.567428571428575,116.0,15.782312925170066,0,4,0,1.0,0
MODEL,79,396.0,-23.294285714285706,110.0,14.965986394557826,0,4,0,1.0,0
MODEL,80,401.0,-27.992285714285714,103.0,14.013605442176873,1,5,0,1.0,0
MODEL,81,406.0,-28.236571428571438,108.0,14.69387755102041,0,5,0,1.0,0
MODEL,82,411.0,-28.185428571428574,109.0,14.829931972789113,0,5,0,1.0,0
MODEL,83,416.0,-28.331999999999997,112.0,15.238095238095235,0,5,0,1.0,0
MODEL,84,421.0,-28.520857142857132,113.0,15.374149659863944,0,5,0,1.0,0
MODEL,85,426.0,-28.47857142857143,115.0,15.646258503401363,0,5,0,1.0,0
MODEL,86,431.0,-29.01142857142857,130.0,17.68707482993197,0,5,0,1.0,0
MODEL,87,436.0,-28.942571428571434,129.0,17.551020408163264,0,5,0,1.0,0
MODEL,88,441.0,-28.860285714285713,131.0,17.823129251700678,0,5,0,1.0,0
MODEL,89,446.0,-29.475428571428573,144.0,19.591836734693874,0,5,0,1.0,0
MODEL,90,451.0,-29.38428571428572,145.0,19.727891156462583,0,5,0,1.0,0
MODEL,91,456.0,-29.33085714285715,148.0,20.13605442176871,0,5,0,1.0,0
MODEL,92,461.0,-29.155428571428576,144.0,19.591836734693874,0,5,0,1.0,0
MODEL,93,466.0,-29.381999999999998,147.0,20.000000000000004,0,5,0,1.0,0
MODEL,94,471.0,-29.45514285714286,153.0,20.816326530612244,0,5,0,1.0,0
MODEL,95,476.0,-29.66171428571429,156.0,21.22448979591837,0,5,0,1.0,0
MODEL,96,481.0,-29.71714285714286,160.0,21.7687074829932,0,5,0,1.0,0
MODEL,97,486.0,-29.903714285714283,163.0,22.17687074829932,0,5,0,1.0,0
MODEL,98,491.0,-29.772571428571435,164.0,22.312925170068027,0,5,0,1.0,0
MODEL,99,496.0,-29.72828571428572,159.0,21.63265306122449,0,5,0,1.0,0
MODEL,100,501.0,-29.746000000000002,161.0,21.9047619047619,0,5,0,1.0,0
MODEL,101,506.0,-29.88142857142856,165.0,22.448979591836736,0,5,0,1.0,0
MODEL,102,511.0,-29.792571428571435,164.0,22.312925170068024,0,5,0,1.0,0
MODEL,103,516.0,-29.783714285714286,163.0,22.17687074829932,0,5,0,1.0,0
MODEL,104,521.0,-29.894857142857155,162.0,22.040816326530617,0,5,0,1.0,0
MODEL,105,526.0,-34.98571428571429,170.0,23.12925170068027,1,6,0,1.0,0
MODEL,106,531.0,-71.89428571428572,180.0,24.48979591836735,1,7,1,0.6,0
MODEL,107,536.0,-71.53228571428572,173.0,23.537414965986397,0,7,1,0.6,3
MODEL,108,541.0,-72.79357142857141,185.0,25.170068027210878,0,7,1,0.6,5
MODEL,109,546.0,-72.34585714285714,183.0,24.89795918367347,0,7,1,0.6,7
MODEL,110,551.0,-72.52971428571429,184.0,25.03401360544218,0,7,1,0.6,9
MODEL,111,556.0,-69.11671428571428,191.0,25.986394557823125,0,6,1,0.6,11
MODEL,112,561.0,-67.5097142857143,184.0,25.03401360544218,0,6,1,0.6,11
MODEL,113,566.0,-69.76828571428572,194.0,26.394557823129247,0,6,1,0.6,13
MODEL,114,571.0,-69.83214285714287,195.0,26.53061224489796,0,6,1,0.6,13
MODEL,115,576.0,-69.38442857142857,193.0,26.258503401360546,0,6,1,0.6,13
MODEL,116,581.0,-71.11528571428573,201.0,27.3469387755102,0,6,1,0.6,14
MODEL,117,586.0,-65.93142857142857,200.0,27.2108843537415,0,5,1,0.6,16
MODEL,118,591.0,-65.62757142857144,199.0,27.074829931972793,0,5,1,0.6,18
MODEL,119,596.0,-66.29914285714285,202.0,27.482993197278915,0,5,1,0.6,20
MODEL,120,601.0,-66.40300000000002,203.0,27.619047619047624,0,5,1,0.6,21
