mode,step,sim_time,reward,global_queue,global_avg_delay,accident_events,active_accidents,jam_active,demand_keep_prob,vehicles_removed
FIXED,62,311.0,-1.2611428571428576,34.0,4.625850340136054,0,0,0,1.0,0
FIXED,63,316.0,-1.5428571428571427,50.0,6.802721088435375,0,0,0,1.0,0
FIXED,64,321.0,-2.120285714285714,61.0,8.299319727891156,0,0,0,1.0,0
FIXED,65,326.0,-1.962285714285714,68.0,9.25170068027211,0,0,0,1.0,0
FIXED,66,331.0,-2.14,70.0,9.523809523809524,0,0,0,1.0,0
FIXED,67,336.0,-0.9234285714285714,32.0,4.35374149659864,0,0,0,1.0,0
FIXED,68,341.0,-1.2542857142857142,40.0,5.4421768707483,0,0,0,1.0,0
FIXED,69,346.0,-1.5894285714285716,53.0,7.2108843537414975,0,0,0,1.0,0
FIXED,70,351.0,-1.627142857142857,55.0,7.482993197278911,0,0,0,1.0,0
FIXED,71,356.0,-2.093428571428571,67.0,9.1156462585034,0,0,0,1.0,0
FIXED,72,361.0,-2.5708571428571427,78.0,10.612244897959185,0,0,0,1.0,0
FIXED,73,366.0,-0.7502857142857144,26.0,3.537414965986395,0,0,0,1.0,0
FIXED,74,371.0,-1.4651428571428573,48.0,6.53061224489796,0,0,0,1.0,0
FIXED,75,376.0,-1.964857142857143,57.0,7.755102040816327,0,0,0,1.0,0
FIXED,76,381.0,-1.6760000000000004,56.0,7.619047619047619,0,0,0,1.0,0
FIXED,77,386.0,-1.7514285714285713,60.0,8.16326530612245,0,0,0,1.0,0
FIXED,78,391.0,-2.162285714285714,68.0,9.25170068027211,0,0,0,1.0,0
FIXED,79,396.0,-0.8657142857142857,30.0,4.081632653061225,0,0,0,1.0,0
FIXED,80,401.0,-1.2942857142857145,40.0,5.4421768707483,0,0,0,1.0,0
FIXED,81,406.0,-1.7582857142857142,54.0,7.346938775510205,0,0,0,1.0,0
FIXED,82,411.0,-2.118,63.0,8.571428571428573,0,0,0,1.0,0
FIXED,83,416.0,-2.266571428571429,73.0,9.931972789115648,0,0,0,1.0,0
FIXED,84,421.0,-2.661714285714285,86.0,11.700680272108844,0,0,0,1.0,0
FIXED,85,426.0,-0.9234285714285715,32.0,4.35374149659864,0,0,0,1.0,0
FIXED,86,431.0,-1.3119999999999998,42.0,5.7142857142857135,0,0,0,1.0,0
FIXED,87,436.0,-1.5428571428571427,50.0,6.8027210884353755,0,0,0,1.0,0
FIXED,88,441.0,-2.1202857142857137,61.0,8.299319727891158,0,0,0,1.0,0
FIXED,89,446.0,-1.8868571428571426,64.0,8.70748299319728,0,0,0,1.0,0
FIXED,90,451.0,-2.1288571428571426,71.0,9.659863945578232,0,0,0,1.0,0
FIXED,91,456.0,-0.8945714285714287,31.0,4.217687074829932,0,0,0,1.0,0
FIXED,92,461.0,-0.9234285714285714,32.0,4.353741496598639,0,0,0,1.0,0
FIXED,93,466.0,-1.340857142857143,43.0,5.850340136054422,0,0,0,1.0,0
FIXED,94,471.0,-1.8914285714285717,60.0,8.16326530612245,0,0,0,1.0,0
FIXED,95,476.0,-1.7937142857142858,58.0,7.891156462585035,0,0,0,1.0,0
FIXED,96,481.0,-1.9845714285714289,66.0,8.979591836734695,0,0,0,1.0,0
FIXED,97,486.0,-0.404,14.0,1.9047619047619044,0,0,0,1.0,0
FIXED,98,491.0,-0.754857142857143,22.0,2.9931972789115644,0,0,0,1.0,0
FIXED,99,496.0,-1.3277142857142858,37.0,5.034013605442177,0,0,0,1.0,0
FIXED,100,501.0,-1.2631428571428571,41.0,5.578231292517008,0,0,0,1.0,0
FIXED,101,506.0,-1.5828571428571425,50.0,6.802721088435375,0,0,0,1.0,0
FIXED,102,511.0,-1.8114285714285716,60.0,8.16326530612245,0,0,0,1.0,0
FIXED,103,516.0,-0.7214285714285715,25.0,3.4013605442176877,0,0,0,1.0,0
FIXED,104,521.0,-1.138857142857143,36.0,4.8979591836734695,0,0,0,1.0,0
FIXED,105,526.0,-2.1471428571428572,55.0,7.482993197278911,0,0,0,1.0,0
FIXED,106,531.0,-1.9114285714285715,60.0,8.16326530612245,0,0,0,1.0,0
FIXED,107,536.0,-2.073428571428572,67.0,9.1156462585034,0,0,0,1.0,0
FIXED,108,541.0,-2.410857142857142,78.0,10.612244897959183,0,0,0,1.0,0
FIXED,109,546.0,-0.7214285714285714,25.0,3.4013605442176877,0,0,0,1.0,0
FIXED,110,551.0,-0.8657142857142858,30.0,4.081632653061225,0,0,0,1.0,0
FIXED,111,556.0,-6.129999999999999,35.0,4.761904761904762,1,1,0,1.0,0
FIXED,112,561.0,-6.669428571428571,53.0,7.2108843537414975,0,1,0,1.0,0
FIXED,113,566.0,-6.931428571428571,60.0,8.16326530612245,0,1,0,1.0,0
FIXED,114,571.0,-7.1245714285714286,66.0,8.979591836734693,0,1,0,1.0,0
FIXED,115,576.0,-5.663714285714285,23.0,3.129251700680272,0,1,0,1.0,0
FIXED,116,581.0,-6.394285714285715,40.0,5.4421768707483,0,1,0,1.0,0
FIXED,117,586.0,-7.249142857142857,62.0,8.435374149659864,0,1,0,1.0,0
FIXED,118,591.0,-7.621999999999999,77.0,10.476190476190476,0,1,0,1.0,0
FIXED,119,596.0,-7.615142857142856,83.0,11.29251700680272,0,1,0,1.0,0
FIXED,120,601.0,-7.768285714285715,89.0,12.108843537414966,0,1,0,1.0,0
