t_s,reward_t,episode_return,num_intersections,totalQ_list,avg_delay_list,accidents_list,num_accident_clusters,max_cluster_size
747.0,-6081.008198274784,-2214676.1984531865,4,502.2462;1701.3447;1486.8568;1023.6698,1434.9891;4860.9847;4248.1624;2924.7709,1;1;1;1,0,0
748.0,-6092.380950393197,-2220768.5794035797,4,503.6438;1703.7269;1489.6711;1025.9210,1438.9824;4867.7913;4256.2032;2931.2030,1;1;1;1,0,0
749.0,-6103.7539567267895,-2226872.3333603065,4,505.0415;1706.1096;1492.4853;1028.1723,1442.9756;4874.5988;4264.2438;2937.6351,1;1;1;1,0,0
750.0,-6115.127215809659,-2232987.460576116,4,506.4390;1708.4925;1495.2995;1030.4235,1446.9686;4881.4072;4272.2842;2944.0671,1;1;1;1,0,0
751.0,-6126.500726186816,-2239113.961302303,4,507.8365;1710.8758;1498.1135;1032.6747,1450.9615;4888.2165;4280.3243;2950.4992,1;1;1;1,0,0
752.0,-6137.874486414094,-2245251.835788717,4,509.2340;1713.2594;1500.9275;1034.9260,1454.9542;4895.0268;4288.3643;2956.9313,1;1;1;1,0,0
753.0,-6149.248495058041,-2251401.084283775,4,510.6314;1715.6433;1503.7414;1037.1772,1458.9468;4901.8379;4296.4040;2963.3635,1;1;1;1,0,0
754.0,-6160.622750695831,-2257561.707034471,4,512.0287;1718.0275;1506.5552;1039.4285,1462.9392;4908.6500;4304.4435;2969.7956,1;1;1;1,0,0
755.0,-6171.997251915167,-2263733.7042863863,4,513.4260;1720.4121;1509.3689;1041.6797,1466.9315;4915.4630;4312.4827;2976.2278,1;1;1;1,0,0
756.0,-6183.371997314178,-2269917.0762837003,4,514.8233;1722.7969;1512.1826;1043.9310,1470.9236;4922.2769;4320.5217;2982.6600,1;1;1;1,0,0
757.0,-6194.746985501335,-2276111.8232692014,4,516.2204;1725.1821;1514.9962;1046.1823,1474.9155;4929.0917;4328.5605;2989.0922,1;1;1;1,0,0
758.0,-6206.122215095353,-2282317.945484297,4,517.6176;1727.5676;1517.8097;1048.4335,1478.9073;4935.9074;4336.5991;2995.5244,1;1;1;1,0,0
759.0,-6217.497684725098,-2288535.443169022,4,519.0146;1729.9534;1520.6231;1050.6848,1482.8990;4942.7240;4344.6375;3001.9566,1;1;1;1,0,0
760.0,-6228.873393029501,-2294764.3165620514,4,520.4117;1732.3395;1523.4365;1052.9361,1486.8905;4949.5415;4352.6756;3008.3889,1;1;1;1,0,0
