t_s,reward_t,episode_return,num_intersections,totalQ_list,avg_delay_list,accidents_list,num_accident_clusters,max_cluster_size
1.0,-107.0740967019553,-107.0740967019553,4,19.0954;18.4340;19.8340;18.1386,54.5584;52.6686;56.6686;51.8245,1;0;1;0,0,0
2.0,-118.3994853717061,-225.47358207366142,4,20.1872;18.8829;21.6524;19.6993,57.6777;53.9512;61.8640;56.2837,1;0;1;1,0,0
3.0,-124.71996683774735,-350.19354891140875,4,21.2727;19.3345;23.4590;21.2716,60.7791;55.2415;67.0256;60.7759,1;0;1;1,0,0
4.0,-137.83386127470936,-488.0274101861181,4,22.3524;21.1882;25.2545;22.8535,63.8639;60.5377;72.1557;65.2957,1;1;1;1,0,0
5.0,-145.96066369786215,-633.9880738839803,4,23.4361;23.0347;27.0609;24.4377,66.9604;65.8134;77.3168;69.8220,1;1;1;1,0,0
6.0,-154.09802428079678,-788.086098164777,4,24.5234;24.8748;28.8764;26.0239,70.0667;71.0708;82.5040;74.3541,1;1;1;1,0,0
7.0,-162.2441379486121,-950.3302361133891,4,25.6135;26.7091;30.6996;27.6121,73.1814;76.3118;87.7132;78.8917,1;1;1;1,0,0
8.0,-170.39759475573405,-1120.7278308691232,4,26.7061;28.5383;32.5295;29.2020,76.3031;81.5381;92.9413;83.4343,1;1;1;1,0,0
9.0,-178.55727694132736,-1299.2851078104504,4,27.8008;30.3629;34.3650;30.7936,79.4309;86.7511;98.1858;87.9816,1;1;1;1,0,0
10.0,-186.72228656666758,-1486.007394377118,4,28.8974;32.1832;36.2056;32.3866,82.5641;91.9520;103.4446;92.5332,1;1;1;1,0,0
11.0,-194.89189365864885,-1680.8992880357669,4,29.9957;33.9997;38.0506;33.9811,85.7020;97.1419;108.7159;97.0888,1;1;1;1,0,0
12.0,-203.06549839504027,-1883.9647864308072,4,31.0954;35.8126;39.8994;35.5768,88.8440;102.3218;113.9983;101.6481,1;1;1;1,0,0
13.0,-211.24260309006556,-2095.2073895208728,4,32.1964;37.6223;41.7517;37.1738,91.9897;107.4923;119.2907;106.2109,1;1;1;1,0,0
14.0,-219.42279113986086,-2314.6301806607335,4,33.2985;39.4290;43.6071;38.7719,95.1386;112.6544;124.5919;110.7769,1;1;1;1,0,0
15.0,-227.60571098963436,-2542.2358916503676,4,34.4017;41.2330;45.4654;40.3711,98.2905;117.8085;129.9010;115.3460,1;1;1;1,0,0
16.0,-235.7910637771207,-2778.0269554274882,4,35.5058;43.0344;47.3261;41.9713,101.4450;122.9554;135.2174;119.9179,1;1;1;1,0,0
17.0,-243.9785937035521,-3022.0055491310404,4,36.6107;44.8334;49.1891;43.5723,104.6020;128.0955;140.5404;124.4924,1;1;1;1,0,0
18.0,-252.16808045327167,-3274.173629584312,4,37.7164;46.6302;51.0543;45.1743,107.7611;133.2292;145.8693;129.0695,1;1;1;1,0,0
19.0,-260.3593331696767,-3534.5329627539886,4,38.8228;48.4250;52.9213;46.7771,110.9222;138.3571;151.2037;133.6489,1;1;1;1,0,0
20.0,-268.55218562600135,-3803.0851483799897,4,39.9298;50.2178;54.7901;48.3807,114.0852;143.4794;156.5431;138.2305,1;1;1;1,0,0
21.0,-276.7464923224278,-4079.8316407024176,4,41.0374;52.0088;56.6605;49.9850,117.2498;148.5966;161.8871;142.8142,1;1;1;1,0,0
22.0,-284.9421253079253,-4364.773766010343,4,42.1456;53.7981;58.5324;51.5900,120.4160;153.7089;167.2354;147.4000,1;1;1;1,0,0
23.0,-293.1389715739286,-4657.912737584272,4,43.2543;55.5858;60.4057;53.1957,123.5836;158.8166;172.5877;151.9876,1;1;1;1,0,0
24.0,-301.3369309028197,-4959.249668487091,4,44.3634;57.3720;62.2803;54.8019,126.7525;163.9201;177.9436;156.5770,1;1;1;1,0,0
25.0,-309.5359140808334,-5268.785582567924,4,45.4729;59.1568;64.1560;56.4088,129.9227;169.0194;183.3029;161.1681,1;1;1;1,0,0
26.0,-317.7358414050133,-5586.521423972938,4,46.5829;60.9402;66.0329;58.0163,133.0940;174.1150;188.6654;165.7608,1;1;1;1,0,0
27.0,-325.93664142900184,-5912.458065401939,4,47.6932;62.7224;67.9108;59.6243,136.2663;179.2069;194.0309;170.3551,1;1;1;1,0,0
28.0,-334.1382499040184,-6246.596315305957,4,48.8039;64.5034;69.7897;61.2328,139.4397;184.2953;199.3992;174.9509,1;1;1;1,0,0
29.0,-342.34060888029205,-6588.93692418625,4,49.9149;66.2832;71.6695;62.8418,142.6139;189.3804;204.7701;179.5480,1;1;1;1,0,0
30.0,-350.54366594112673,-6939.480590127377,4,51.0262;68.0619;73.5502;64.4513,145.7891;194.4625;210.1434;184.1465,1;1;1;1,0,0
31.0,-358.74737354717314,-7298.22796367455,4,52.1378;69.8395;75.4317;66.0612,148.9650;199.5416;215.5190;188.7463,1;1;1;1,0,0
32.0,-366.9516884727312,-7665.179652147281,4,53.2496;71.6162;77.3139;67.6716,152.1418;204.6178;220.8968;193.3474,1;1;1;1,0,0
33.0,-375.1565713192647,-8040.336223466546,4,54.3617;73.3920;79.1968;69.2823,155.3192;209.6914;226.2767;197.9496,1;1;1;1,0,0
34.0,-383.36198609398593,-8423.69820956053,4,55.4741;75.1668;81.0805;70.8935,158.4974;214.7624;231.6585;202.5529,1;1;1;1,0,0
35.0,-391.5678998435122,-8815.266109404043,4,56.5866;76.9408;82.9647;72.5051,161.6761;219.8309;237.0421;207.1573,1;1;1;1,0,0
36.0,-399.77428233431965,-9215.040391738363,4,57.6994;78.7140;84.8496;74.1170,164.8555;224.8971;242.4275;211.7628,1;1;1;1,0,0
37.0,-407.9811057731194,-9623.021497511481,4,58.8124;80.4863;86.7351;75.7293,168.0355;229.9610;247.8145;216.3693,1;1;1;1,0,0
38.0,-416.18834456141343,-10039.209842072894,4,59.9256;82.2580;88.6211;77.3419,171.2160;235.0227;253.2030;220.9768,1;1;1;1,0,0
39.0,-424.3959750794197,-10463.605817152315,4,61.0389;84.0288;90.5076;78.9548,174.3970;240.0824;258.5931;225.5852,1;1;1;1,0,0
40.0,-432.60397549531746,-10896.209792647633,4,62.1525;85.7990;92.3946;80.5681,177.5785;245.1401;263.9846;230.1945,1;1;1;1,0,0
41.0,-440.81232559639034,-11337.022118244024,4,63.2662;87.5686;94.2821;82.1816,180.7605;250.1959;269.3775;234.8046,1;1;1;1,0,0
42.0,-449.02100663916985,-11786.043124883194,4,64.3800;89.3375;96.1701;83.7955,183.9429;255.2499;274.7716;239.4157,1;1;1;1,0,0
43.0,-457.2300012161105,-12243.273126099304,4,65.4940;91.1057;98.0584;85.4096,187.1258;260.3021;280.1669;244.0275,1;1;1;1,0,0
44.0,-465.439293136691,-12708.712419235995,4,66.6082;92.8734;99.9472;87.0240,190.3090;265.3525;285.5635;248.6401,1;1;1;1,0,0
45.0,-473.64886732113985,-13182.361286557136,4,67.7224;94.6405;101.8364;88.6387,193.4926;270.4014;290.9611;253.2534,1;1;1;1,0,0
46.0,-481.858709705235,-13664.21999626237,4,68.8368;96.4070;103.7260;90.2536,196.6766;275.4487;296.3599;257.8675,1;1;1;1,0,0
47.0,-490.06880715484465,-14154.288803417216,4,69.9513;98.1730;105.6159;91.8688,199.8610;280.4944;301.7596;262.4823,1;1;1;1,0,0
48.0,-498.2791473890553,-14652.567950806271,4,71.0660;99.9385;107.5061;93.4842,203.0457;285.5387;307.1604;267.0978,1;1;1;1,0,0
49.0,-506.48971891089025,-15159.057669717162,4,72.1807;101.7035;109.3967;95.0999,206.2307;290.5815;312.5621;271.7140,1;1;1;1,0,0
50.0,-514.7005109447507,-15673.758180661913,4,73.2956;103.4680;111.2876;96.7158,209.4160;295.6230;317.9647;276.3308,1;1;1;1,0,0
51.0,-522.911513379823,-16196.669694041735,4,74.4106;105.2321;113.1789;98.3319,212.6016;300.6631;323.3682;280.9482,1;1;1;1,0,0
52.0,-531.1227167187956,-16727.792410760532,4,75.5256;106.9957;115.0704;99.9482,215.7875;305.7020;328.7725;285.5663,1;1;1;1,0,0
53.0,-539.3341120313061,-17267.126522791837,4,76.6408;108.7589;116.9622;101.5647,218.9737;310.7396;334.1777;290.1849,1;1;1;1,0,0
54.0,-547.5456909116148,-17814.672213703452,4,77.7560;110.5216;118.8543;103.1814,222.1601;315.7760;339.5836;294.8041,1;1;1;1,0,0
55.0,-555.7574454400586,-18370.429659143512,4,78.8714;112.2839;120.7466;104.7984,225.3468;320.8112;344.9902;299.4239,1;1;1;1,0,0
56.0,-563.9693681478948,-18934.39902729141,4,79.9868;114.0459;122.6392;106.4155,228.5337;325.8453;350.3976;304.0442,1;1;1;1,0,0
57.0,-572.1814519851883,-19506.580479276596,4,81.1023;115.8074;124.5320;108.0328,231.7208;330.8783;355.8057;308.6650,1;1;1;1,0,0
58.0,-580.3936902914369,-20086.97416956803,4,82.2179;117.5686;126.4251;109.6502,234.9082;335.9103;361.2145;313.2864,1;1;1;1,0,0
59.0,-588.6060767686643,-20675.580246336696,4,83.3335;119.3294;128.3184;111.2679,238.0958;340.9412;366.6239;317.9082,1;1;1;1,0,0
60.0,-596.818605456739,-21272.398851793434,4,84.4493;121.0899;130.2119;112.8857,241.2836;345.9711;372.0339;322.5306,1;1;1;1,0,0
61.0,-605.0312707107065,-21877.43012250414,4,85.5650;122.8500;132.1056;114.5037,244.4716;351.0000;377.4446;327.1534,1;1;1;1,0,0
62.0,-613.2440671799441,-22490.674189684087,4,86.6809;124.6098;133.9995;116.1218,247.6598;356.0280;382.8558;331.7766,1;1;1;1,0,0
63.0,-621.4569897889661,-23112.131179473054,4,87.7968;126.3693;135.8937;117.7401,250.8481;361.0550;388.2676;336.4004,1;1;1;1,0,0
64.0,-629.6700337197317,-23741.801213192786,4,88.9128;128.1284;137.7880;119.3586,254.0367;366.0812;393.6799;341.0245,1;1;1;1,0,0
65.0,-637.8831943953135,-24379.684407588098,4,90.0289;129.8873;139.6825;120.9772,257.2254;371.1064;399.0928;345.6491,1;1;1;1,0,0
66.0,-646.0964674648109,-25025.780875052908,4,91.1450;131.6458;141.5772;122.5960,260.4143;376.1309;404.5062;350.2741,1;1;1;1,0,0
67.0,-654.3098487893927,-25680.0907238423,4,92.2612;133.4041;143.4720;124.2148,263.6033;381.1545;409.9201;354.8996,1;1;1;1,0,0
68.0,-662.5233344293749,-26342.614058271673,4,93.3774;135.1620;145.3670;125.8339,266.7925;386.1773;415.3344;359.5254,1;1;1;1,0,0
69.0,-670.7369206322412,-27013.350978903913,4,94.4937;136.9197;147.2622;127.4531,269.9819;391.1993;420.7493;364.1516,1;1;1;1,0,0
70.0,-678.950603821529,-27692.301582725442,4,95.6100;138.6772;149.1576;129.0724,273.1714;396.2205;426.1645;368.7782,1;1;1;1,0,0
71.0,-687.164380586506,-28379.465963311948,4,96.7264;140.4344;151.0531;130.6918,276.3611;401.2410;431.5803;373.4052,1;1;1;1,0,0
72.0,-695.378247672573,-29074.84421098452,4,97.8428;142.1913;152.9487;132.3114,279.5508;406.2608;436.9964;378.0325,1;1;1;1,0,0
73.0,-703.5922019723338,-29778.436412956853,4,98.9593;143.9479;154.8445;133.9311,282.7408;411.2799;442.4130;382.6602,1;1;1;1,0,0
74.0,-711.806240517277,-30490.24265347413,4,100.0758;145.7044;156.7405;135.5509,285.9308;416.2982;447.8300;387.2882,1;1;1;1,0,0
75.0,-720.0203604700224,-31210.263013944153,4,101.1923;147.4606;158.6366;137.1708,289.1210;421.3159;453.2473;391.9166,1;1;1;1,0,0
76.0,-728.2345591170864,-31938.49757306124,4,102.3089;149.2165;160.5328;138.7908,292.3113;426.3329;458.6651;396.5453,1;1;1;1,0,0
77.0,-736.4488338621263,-32674.946406923365,4,103.4256;150.9723;162.4291;140.4110,295.5017;431.3493;464.0832;401.1743,1;1;1;1,0,0
78.0,-744.6631822196259,-33419.609589142994,4,104.5423;152.7278;164.3256;142.0313,298.6922;436.3651;469.5017;405.8037,1;1;1;1,0,0
79.0,-752.8776018089914,-34172.487190951986,4,105.6590;154.4831;166.2222;143.6517,301.8828;441.3802;474.9205;410.4333,1;1;1;1,0,0
80.0,-761.0920903490224,-34933.57928130101,4,106.7758;156.2382;168.1189;145.2721,305.0736;446.3947;480.3397;415.0633,1;1;1;1,0,0
81.0,-769.3066456527338,-35702.88592695374,4,107.8926;157.9930;170.0157;146.8927,308.2644;451.4087;485.7592;419.6936,1;1;1;1,0,0
82.0,-777.5212656225011,-36480.40719257624,4,109.0094;159.7477;171.9127;148.5134,311.4554;456.4221;491.1790;424.3241,1;1;1;1,0,0
83.0,-785.7359482455063,-37266.14314082175,4,110.1262;161.5022;173.8097;150.1342,314.6464;461.4349;496.5992;428.9550,1;1;1;1,0,0
84.0,-793.9506915894609,-38060.09383241121,4,111.2431;163.2565;175.7069;151.7551,317.8376;466.4471;502.0196;433.5861,1;1;1;1,0,0
85.0,-802.1654937985902,-38862.259326209794,4,112.3601;165.0106;177.6041;153.3761,321.0288;471.4588;507.4404;438.2175,1;1;1;1,0,0
86.0,-810.380353089855,-39672.63967929965,4,113.4770;166.7645;179.5015;154.9972,324.2201;476.4700;512.8614;442.8492,1;1;1;1,0,0
87.0,-818.5952677493993,-40491.23494704905,4,114.5940;168.5182;181.3990;156.6184,327.4116;481.4807;518.2828;447.4811,1;1;1;1,0,0
88.0,-826.8102361292055,-41318.045183178256,4,115.7111;170.2718;183.2965;158.2397,330.6031;486.4909;523.7044;452.1133,1;1;1;1,0,0
89.0,-835.025256643943,-42153.0704398222,4,116.8281;172.0252;185.1942;159.8610,333.7946;491.5005;529.1263;456.7458,1;1;1;1,0,0
90.0,-843.2403277679996,-42996.3107675902,4,117.9452;173.7784;187.0919;161.4825,336.9863;496.5097;534.5484;461.3785,1;1;1;1,0,0
91.0,-851.455448032679,-43847.766215622876,4,119.0623;175.5315;188.9898;163.1040,340.1781;501.5184;539.9708;466.0115,1;1;1;1,0,0
92.0,-859.6706160235585,-44707.43683164643,4,120.1795;177.2843;190.8877;164.7256,343.3699;506.5267;545.3935;470.6447,1;1;1;1,0,0
93.0,-867.8858303779929,-45575.322662024424,4,121.2966;179.0371;192.7857;166.3473,346.5618;511.5345;550.8164;475.2781,1;1;1;1,0,0
94.0,-876.1010897827548,-46451.42375180718,4,122.4138;180.7896;194.6838;167.9691,349.7538;516.5418;556.2395;479.9118,1;1;1;1,0,0
95.0,-884.3163929718072,-47335.74014477899,4,123.5310;182.5420;196.5820;169.5910,352.9458;521.5487;561.6629;484.5457,1;1;1;1,0,0
96.0,-892.5317387241935,-48228.271883503185,4,124.6483;184.2943;198.4803;171.2129,356.1379;526.5552;567.0865;489.1798,1;1;1;1,0,0
97.0,-900.7471258620415,-49129.01900936523,4,125.7655;186.0464;200.3786;172.8350,359.3301;531.5612;572.5103;493.8142,1;1;1;1,0,0
98.0,-908.9625532486745,-50037.9815626139,4,126.8828;187.7984;202.2770;174.4571,362.5224;536.5668;577.9344;498.4487,1;1;1;1,0,0
99.0,-917.1780197868203,-50955.15958240072,4,128.0001;189.5502;204.1755;176.0792,365.7147;541.5721;583.3587;503.0835,1;1;1;1,0,0
100.0,-925.3935244169148,-51880.553106817635,4,129.1175;191.3019;206.0741;177.7015,368.9071;546.5769;588.7832;507.7185,1;1;1;1,0,0
101.0,-933.6090661154924,-52814.16217293313,4,130.2348;193.0535;207.9727;179.3238,372.0995;551.5813;594.2078;512.3537,1;1;1;1,0,0
102.0,-821.6724374214918,-53635.83461035462,4,131.3725;194.8837;209.8243;91.3314,375.3500;556.8105;599.4979;260.9470,1;1;1;0,0,0
103.0,-830.0147828560389,-54465.84939321066,4,132.5101;196.7130;211.6768;93.0005,378.6002;562.0371;604.7909;265.7157,1;1;1;0,0,0
104.0,-843.3565175466222,-55309.20591075728,4,133.6475;198.5414;213.5304;94.6691,381.8500;567.2611;610.0868;270.4831,1;1;1;1,0,0
105.0,-851.6976402827074,-56160.903551039984,4,134.7848;200.3689;215.3850;96.3372,385.0995;572.4826;615.3856;275.2492,1;1;1;1,0,0
106.0,-860.0381502973362,-57020.941701337324,4,135.9220;202.1956;217.2405;98.0049,388.3486;577.7016;620.6871;280.0141,1;1;1;1,0,0
107.0,-868.3780472340652,-57889.31974857139,4,137.0591;204.0214;219.0969;99.6722,391.5974;582.9182;625.9913;284.7777,1;1;1;1,0,0
108.0,-876.7173311162084,-58766.0370796876,4,138.1960;205.8463;220.9543;101.3390,394.8458;588.1324;631.2980;289.5400,1;1;1;1,0,0
109.0,-885.0560023182155,-59651.09308200582,4,139.3329;207.6705;222.8126;103.0054,398.0939;593.3443;636.6073;294.3012,1;1;1;1,0,0
110.0,-893.3940615390344,-60544.48714354485,4,140.4696;209.4938;224.6717;104.6714,401.3417;598.5538;641.9190;299.0611,1;1;1;1,0,0
111.0,-901.7315097773131,-61446.21865332216,4,141.6062;211.3164;226.5316;106.3370,404.5892;603.7611;647.2331;303.8200,1;1;1;1,0,0
112.0,-910.0683483083111,-62356.28700163047,4,142.7427;213.1382;228.3924;108.0022,407.8363;608.9662;652.5496;308.5776,1;1;1;1,0,0
113.0,-918.4045786624001,-63274.69158029287,4,143.8791;214.9592;230.2539;109.6670,411.0831;614.1690;657.8683;313.3342,1;1;1;1,0,0
114.0,-926.740202605039,-64201.43178289791,4,145.0154;216.7794;232.1162;111.3314,414.3296;619.3698;663.1891;318.0897,1;1;1;1,0,0
115.0,-935.0752221181212,-65136.507005016036,4,146.1515;218.5989;233.9793;112.9954,417.5758;624.5684;668.5122;322.8441,1;1;1;1,0,0
116.0,-943.4096393825976,-66079.91664439863,4,147.2876;220.4177;235.8430;114.6591,420.8217;629.7650;673.8373;327.5975,1;1;1;1,0,0
117.0,-951.7434567622842,-67031.66010116092,4,148.4235;222.2358;237.7075;116.3224,424.0673;634.9595;679.1644;332.3498,1;1;1;1,0,0
118.0,-960.0766767887749,-67991.73677794969,4,149.5594;224.0532;239.5727;117.9854,427.3126;640.1520;684.4935;337.1012,1;1;1;1,0,0
119.0,-968.4093021473816,-68960.14608009707,4,150.6951;225.8699;241.4386;119.6480,430.5576;645.3426;689.8246;341.8515,1;1;1;1,0,0
120.0,-976.741335664029,-69936.8874157611,4,151.8308;227.6859;243.3051;121.3103,433.8023;650.5312;695.1575;346.6009,1;1;1;1,0,0
121.0,-985.0727802930395,-70921.96019605413,4,152.9663;229.5013;245.1723;122.9723,437.0467;655.7179;700.4922;351.3493,1;1;1;1,0,0
122.0,-993.4036391057504,-71915.36383515988,4,154.1018;231.3160;247.0401;124.6339,440.2908;660.9028;705.8288;356.0968,1;1;1;1,0,0
123.0,-1001.7339152798988,-72917.09775043977,4,155.2372;233.1300;248.9085;126.2952,443.5347;666.0858;711.1671;360.8433,1;1;1;1,0,0
124.0,-1010.0636120897311,-73927.1613625295,4,156.3724;234.9435;250.7775;127.9561,446.7783;671.2670;716.5071;365.5890,1;1;1;1,0,0
125.0,-1018.3927328967814,-74945.55409542628,4,157.5076;236.7562;252.6470;129.6168,450.0216;676.4464;721.8487;370.3338,1;1;1;1,0,0
126.0,-1026.721281141275,-75972.27537656756,4,158.6426;238.5684;254.5172;131.2772,453.2647;681.6241;727.1920;375.0777,1;1;1;1,0,0
127.0,-1035.0492603341195,-77007.32463690169,4,159.7776;240.3800;256.3879;132.9372,456.5075;686.8000;732.5368;379.8207,1;1;1;1,0,0
128.0,-1043.3766740494336,-78050.70131095112,4,160.9125;242.1910;258.2591;134.5970,459.7500;691.9742;737.8832;384.5629,1;1;1;1,0,0
129.0,-1051.7035259175927,-79102.4048368687,4,162.0473;244.0014;260.1309;136.2565,462.9923;697.1468;743.2311;389.3043,1;1;1;1,0,0
130.0,-1060.0298196187407,-80162.43465648744,4,163.1820;245.8112;262.0032;137.9157,466.2343;702.3177;748.5805;394.0449,1;1;1;1,0,0
131.0,-1068.35555887675,-81230.79021536419,4,164.3166;247.6204;263.8760;139.5746,469.4760;707.4870;753.9314;398.7846,1;1;1;1,0,0
132.0,-1076.6807474535922,-82307.47096281778,4,165.4511;249.4291;265.7493;141.2333,472.7175;712.6547;759.2836;403.5236,1;1;1;1,0,0
133.0,-1085.0053891440962,-83392.47635196187,4,166.5856;251.2373;267.6230;142.8916,475.9588;717.8208;764.6372;408.2618,1;1;1;1,0,0
134.0,-1093.3294877710657,-84485.80583973294,4,167.7199;253.0449;269.4973;144.5497,479.1998;722.9854;769.9922;412.9993,1;1;1;1,0,0
135.0,-1101.6530471807353,-85587.45888691368,4,168.8542;254.8519;271.3720;146.2076,482.4406;728.1484;775.3484;417.7360,1;1;1;1,0,0
136.0,-1109.97607123854,-86697.43495815223,4,169.9884;256.6585;273.2471;147.8652,485.6811;733.3099;780.7060;422.4720,1;1;1;1,0,0
137.0,-1118.2985638251803,-87815.73352197741,4,171.1225;258.4645;275.1227;149.5225,488.9215;738.4700;786.0648;427.2072,1;1;1;1,0,0
138.0,-1126.6205288329616,-88942.35405081038,4,172.2565;260.2700;276.9987;151.1796,492.1615;743.6286;791.4249;431.9418,1;1;1;1,0,0
139.0,-1134.9419701623913,-90077.29602097276,4,173.3905;262.0750;278.8751;152.8365,495.4014;748.7857;796.7861;436.6756,1;1;1;1,0,0
140.0,-1143.2628917190161,-91220.55891269178,4,174.5243;263.8795;280.7520;154.4931,498.6410;753.9414;802.1486;441.4088,1;1;1;1,0,0
141.0,-1151.5832974104846,-92372.14221010226,4,175.6581;265.6835;282.6293;156.1494,501.8804;759.0958;807.5122;446.1412,1;1;1;1,0,0
142.0,-1159.90319114382,-93532.04540124608,4,176.7918;267.4871;284.5069;157.8056,505.1195;764.2487;812.8769;450.8731,1;1;1;1,0,0
143.0,-1168.2225768228905,-94700.26797806898,4,177.9255;269.2901;286.3849;159.4615,508.3585;769.4003;818.2427;455.6042,1;1;1;1,0,0
144.0,-1176.5414583460622,-95876.80943641505,4,179.0590;271.0927;288.2634;161.1172,511.5972;774.5505;823.6096;460.3347,1;1;1;1,0,0
145.0,-1184.8598396040268,-97061.66927601908,4,180.1925;272.8948;290.1422;162.7726,514.8357;779.6995;828.9776;465.0646,1;1;1;1,0,0
146.0,-1193.1777244777877,-98254.84700049687,4,181.3259;274.6965;292.0213;164.4279,518.0740;784.8471;834.3466;469.7939,1;1;1;1,0,0
147.0,-1201.4951168367998,-99456.34211733367,4,182.4592;276.4977;293.9008;166.0829,521.3121;789.9934;839.7166;474.5225,1;1;1;1,0,0
148.0,-1209.812020537248,-100666.15413787092,4,183.5925;278.2985;295.7807;167.7377,524.5500;795.1385;845.0877;479.2506,1;1;1;1,0,0
149.0,-1218.1284394204602,-101884.28257729138,4,184.7257;280.0988;297.6609;169.3923,527.7877;800.2823;850.4597;483.9780,1;1;1;1,0,0
150.0,-1226.4443773114413,-103110.72695460283,4,185.8588;281.8987;299.5414;171.0467,531.0251;805.4249;855.8326;488.7049,1;1;1;1,0,0
151.0,-1234.7598380175268,-104345.48679262036,4,186.9918;283.6982;301.4223;172.7009,534.2624;810.5662;861.2065;493.4311,1;1;1;1,0,0
152.0,-1243.0748253271408,-105588.5616179475,4,188.1248;285.4972;303.3035;174.3549,537.4995;815.7064;866.5814;498.1568,1;1;1;1,0,0
153.0,-1251.389343008658,-106839.95096095616,4,189.2577;287.2959;305.1850;176.0087,540.7363;820.8454;871.9571;502.8820,1;1;1;1,0,0
154.0,-1259.7033948093597,-108099.65435576552,4,190.3906;289.0941;307.0668;177.6623,543.9730;825.9832;877.3337;507.6066,1;1;1;1,0,0
155.0,-1268.016984454479,-109367.67134022,4,191.5233;290.8919;308.9489;179.3157,547.2095;831.1198;882.7112;512.3306,1;1;1;1,0,0
156.0,-1276.330115646329,-110644.00145586632,4,192.6560;292.6894;310.8313;180.9689,550.4458;836.2553;888.0895;517.0541,1;1;1;1,0,0
157.0,-1284.6427920635085,-111928.64424792983,4,193.7887;294.4864;312.7140;182.6220,553.6819;841.3897;893.4687;521.7771,1;1;1;1,0,0
158.0,-1292.9550173601824,-113221.59926529002,4,194.9212;296.2830;314.5970;184.2748,556.9178;846.5229;898.8487;526.4995,1;1;1;1,0,0
159.0,-1301.2667951654275,-114522.86606045545,4,196.0537;298.0793;316.4803;185.9275,560.1535;851.6551;904.2294;531.2215,1;1;1;1,0,0
160.0,-1309.578129082644,-115832.44418953809,4,197.1862;299.8752;318.3639;187.5800,563.3891;856.7862;909.6110;535.9429,1;1;1;1,0,0
161.0,-1317.889022689025,-117150.33321222711,4,198.3185;301.6707;320.2477;189.2323,566.6244;861.9162;914.9934;540.6639,1;1;1;1,0,0
162.0,-1326.1994795350852,-118476.5326917622,4,199.4509;303.4658;322.1318;190.8845,569.8596;867.0451;920.3765;545.3843,1;1;1;1,0,0
163.0,-1334.5095031442374,-119811.04219490643,4,200.5831;305.2606;324.0161;192.5365,573.0946;872.1730;925.7604;550.1042,1;1;1;1,0,0
164.0,-1342.8190970124215,-121153.86129191886,4,201.7153;307.0550;325.9007;194.1883,576.3294;877.2999;931.1449;554.8237,1;1;1;1,0,0
165.0,-1351.1282646077752,-122504.98955652663,4,202.8474;308.8490;327.7856;195.8400,579.5641;882.4258;936.5303;559.5427,1;1;1;1,0,0
166.0,-1359.4370093703533,-123864.42656589698,4,203.9795;310.6427;329.6707;197.4914,582.7985;887.5506;941.9163;564.2613,1;1;1;1,0,0
167.0,-1367.745334711878,-125232.17190060885,4,205.1115;312.4361;331.5560;199.1428,586.0328;892.6745;947.3030;568.9793,1;1;1;1,0,0
168.0,-1376.053244015538,-126608.22514462439,4,206.2434;314.2291;333.4416;200.7939,589.2669;897.7974;952.6904;573.6970,1;1;1;1,0,0
169.0,-1384.3607406358103,-127992.5858852602,4,207.3753;316.0217;335.3275;202.4449,592.5009;902.9193;958.0785;578.4141,1;1;1;1,0,0
170.0,-1392.6678278983225,-129385.25371315851,4,208.5071;317.8141;337.2135;204.0958,595.7347;908.0402;963.4672;583.1309,1;1;1;1,0,0
171.0,-1400.974509099743,-130786.22822225826,4,209.6389;319.6061;339.0998;205.7465,598.9683;913.1602;968.8566;587.8472,1;1;1;1,0,0
172.0,-1409.2807875076985,-132195.50900976596,4,210.7706;321.3977;340.9863;207.3971,602.2018;918.2793;974.2466;592.5630,1;1;1;1,0,0
173.0,-1417.586666360719,-133613.0956761267,4,211.9023;323.1891;342.8730;209.0475,605.4351;923.3974;979.6372;597.2785,1;1;1;1,0,0
174.0,-1425.8921488682063,-135038.9878249949,4,213.0339;324.9801;344.7600;210.6977,608.6682;928.5146;985.0284;601.9935,1;1;1;1,0,0
175.0,-1434.1972382104268,-136473.1850632053,4,214.1654;326.7708;346.6471;212.3478,611.9012;933.6310;990.4203;606.7081,1;1;1;1,0,0
176.0,-1442.5019375385234,-137915.68700074384,4,215.2969;328.5612;348.5345;213.9978,615.1340;938.7464;995.8127;611.4223,1;1;1;1,0,0
177.0,-1450.806249974549,-139366.4932507184,4,216.4283;330.3513;350.4220;215.6476,618.3667;943.8609;1001.2058;616.1361,1;1;1;1,0,0
178.0,-1459.1101786115173,-140825.6034293299,4,217.5597;332.1411;352.3098;217.2973,621.5992;948.9746;1006.5994;620.8495,1;1;1;1,0,0
179.0,-1467.4137265134714,-142293.01715584338,4,218.6910;333.9306;354.1977;218.9469,624.8315;954.0874;1011.9935;625.5625,1;1;1;1,0,0
180.0,-1475.7168967155667,-143768.73405255895,4,219.8223;335.7198;356.0859;220.5963,628.0637;959.1993;1017.3882;630.2751,1;1;1;1,0,0
181.0,-1484.0196922241703,-145252.7537447831,4,220.9535;337.5087;357.9742;222.2456,631.2958;964.3105;1022.7835;634.9874,1;1;1;1,0,0
182.0,-1492.3221160169733,-146745.07586080008,4,222.0847;339.2973;359.8628;223.8947,634.5277;969.4207;1028.1793;639.6992,1;1;1;1,0,0
